"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 22 14:10:57 YEKT 2025","Mon Sep 22 14:11:05 YEKT 2025","7393","","ru.practikum.SignInTest","","ru.practikum.SignInTest","loginFromPasswordRecoveryForm","loginFromPasswordRecoveryForm",""
"passed","Mon Sep 22 14:09:44 YEKT 2025","Mon Sep 22 14:09:48 YEKT 2025","3568","","ru.practikum.SwitchSectionTest","","ru.practikum.SwitchSectionTest","fillingsTab","fillingsTab",""
"passed","Mon Sep 22 14:10:11 YEKT 2025","Mon Sep 22 14:10:34 YEKT 2025","22704","","ru.practikum.SignInTest","","ru.practikum.SignInTest","loginFromMainButton","loginFromMainButton",""
"passed","Mon Sep 22 14:09:39 YEKT 2025","Mon Sep 22 14:09:44 YEKT 2025","4684","","ru.practikum.SwitchSectionTest","","ru.practikum.SwitchSectionTest","bunsTab","bunsTab",""
"passed","Mon Sep 22 14:09:26 YEKT 2025","Mon Sep 22 14:09:31 YEKT 2025","4626","","ru.practikum.RegistrationTest","","ru.practikum.RegistrationTest","registrationWrongPassword","registrationWrongPassword","Пароль короче 6 символов — должна появиться ошибка"
"passed","Mon Sep 22 14:09:31 YEKT 2025","Mon Sep 22 14:09:36 YEKT 2025","4555","","ru.practikum.RegistrationTest","","ru.practikum.RegistrationTest","checkSuccessRegistration","checkSuccessRegistration","Заполняем форму регистрации данными и логинимся"
"passed","Mon Sep 22 14:09:36 YEKT 2025","Mon Sep 22 14:09:39 YEKT 2025","3770","","ru.practikum.SwitchSectionTest","","ru.practikum.SwitchSectionTest","saucesTab","saucesTab",""
"passed","Mon Sep 22 14:10:34 YEKT 2025","Mon Sep 22 14:10:57 YEKT 2025","23150","","ru.practikum.SignInTest","","ru.practikum.SignInTest","loginFromRegistrationForm","loginFromRegistrationForm",""
"passed","Mon Sep 22 14:09:48 YEKT 2025","Mon Sep 22 14:10:11 YEKT 2025","23566","","ru.practikum.SignInTest","","ru.practikum.SignInTest","loginFromHeaderPersonalAccount","loginFromHeaderPersonalAccount",""
